id,specimenNumber,speciesCommonName,speciesScientificName
1,1,Oviraptorid,Citipati osmolskae
2,2,Oviraptorid,Incisivosaurus gauthieri
3,3,Pachycephalosaur,Acrotholus audeti
4,4,Primitive Dinosaur,Eoraptor lunensis
5,5,Primitive Dinosaur,Herrerasaurus ischigualastensis
6,6,Pterosaur,Anhanguera santanae
7,7,Pterosaur,Rhamphorhynchus muensteri
8,8,Sauropod Dinosaur,Apatosaurus sp.
9,9,Sauropod Dinosaur,Diplodocus sp.
10,10,Sauropod Dinosaur,Nigersaurus taqueti
11,11,Sauropodomorph,Sarahsaurus aurifontanalis
12,12,Theropod Dinosaur,Acrocanthosaurus atokensis
13,13,Theropod Dinosaur,Allosaurus fragilis
14,14,Theropod Dinosaur,Byronosaurus jaffei
15,15,Theropod Dinosaur,Coelophysis bauri
16,16,Theropod Dinosaur,Saurornithoides mongoliensis
17,17,Theropod Dinosaur,Syntarsus kayentakatae
18,18,Theropod Dinosaur,Tsaagan mangas
19,19,Theropod Dinosaur,Zanabazar junior
20,20,Tyrannosauroid,Alioramus altai